,uniqueid,plotid,year,AGR17,AGR18,AGR20,AGR21,AGR22,CheckpointID,SimulationID,Zone,Clock.Today,M_AGB,MAIZE_AGB_NITROGEN,Maize_Yield,mYield,source_table,obs
0,NWREC,1091,2011,13916,199,M,M,M,1,1,Field1,9/25/2011 0:00,19552.42433,18.80301738,12091.69386,12091.69386,MaizeR,13916
2,NWREC,1091,2013,13796,218,M,M,M,1,1,Field1,9/25/2013 0:00,12935.80954,12.3773482,6938.464904,6938.464904,MaizeR,13796
4,NWREC,1091,2015,14653,201,M,M,M,1,1,Field1,9/25/2015 0:00,20796.01297,19.28907191,12480.12868,12480.12868,MaizeR,14653
5,NWREC,1101,2011,11456,177,M,M,M,1,2,Field1,9/25/2011 0:00,20141.86126,20.65247609,12681.13079,12681.13079,MaizeR,11456
7,NWREC,1101,2013,10409,178,M,M,M,1,2,Field1,9/16/2013 0:00,14161.77439,15.06504467,7539.704894,7539.704894,MaizeR,10409
8,NWREC,1101,2014,14988,214,M,M,M,1,2,Field1,9/25/2014 0:00,17826.39213,19.59585286,10506.9414,10506.9414,MaizeR,14988
9,NWREC,1101,2015,14972,213,M,M,M,1,2,Field1,9/25/2015 0:00,20943.11648,21.19336609,12627.23219,12627.23219,MaizeR,14972
10,NWREC,2091,2011,13616,207,M,M,M,1,5,Field1,9/25/2011 0:00,19407.17895,18.51701585,11946.44848,11946.44848,MaizeR,13616
12,NWREC,2091,2013,11275,237,M,M,M,1,5,Field1,9/25/2013 0:00,12804.74358,12.19499184,6816.218832,6816.218832,MaizeR,11275
14,NWREC,2091,2015,15472,208,M,M,M,1,5,Field1,9/25/2015 0:00,20819.08414,19.43516981,12503.19985,12503.19985,MaizeR,15472
15,NWREC,3092,2011,11948,189,M,M,M,1,3,Field1,9/25/2011 0:00,20112.35532,20.58109899,12651.62485,12651.62485,MaizeR,11948
17,NWREC,3092,2013,10524,143,M,M,M,1,3,Field1,9/16/2013 0:00,14198.15956,15.03653538,7546.52288,7546.52288,MaizeR,10524
18,NWREC,3092,2014,14876,211,M,M,M,1,3,Field1,9/25/2014 0:00,17814.96153,19.59756737,10494.16707,10494.16707,MaizeR,14876
19,NWREC,3092,2015,15593,214,M,M,M,1,3,Field1,9/25/2015 0:00,20943.11648,21.30485823,12627.23219,12627.23219,MaizeR,15593
20,NWREC,4092,2011,12714,200,M,M,M,1,4,Field1,9/25/2011 0:00,19499.67052,18.59798653,12038.94005,12038.94005,MaizeR,12714
22,NWREC,4092,2013,13829,199,M,M,M,1,4,Field1,9/25/2013 0:00,12969.90484,12.05555261,7004.785896,7004.785896,MaizeR,13829
24,NWREC,4092,2015,15360,223,M,M,M,1,4,Field1,9/25/2015 0:00,20735.33812,18.95197355,12419.45383,12419.45383,MaizeR,15360
